"lhs","","rhs","support","confidence","coverage","lift","count"
"{barbara=1}","=>","{res=0}",0.263157894736842,0.666666666666667,0.394736842105263,1.22088353413655,40
"{yuriko=0}","=>","{res=0}",0.375,0.647727272727273,0.578947368421053,1.18619934282585,57
"{francois=1}","=>","{res=0}",0.276315789473684,0.646153846153846,0.427631578947368,1.18331788693234,42
"{shelda=1}","=>","{res=0}",0.131578947368421,0.625,0.210526315789474,1.14457831325301,20
"{jimmy=0}","=>","{res=0}",0.361842105263158,0.611111111111111,0.592105263157895,1.11914323962517,55
"{steeve=1}","=>","{res=0}",0.164473684210526,0.609756097560976,0.269736842105263,1.11666176902733,25
"{rick=0}","=>","{res=0}",0.407894736842105,0.579439252336449,0.703947368421053,1.06114176331494,62
"{ana=0}","=>","{res=0}",0.532894736842105,0.547297297297297,0.973684210526316,1.00227938782156,81
"{alonso=0}","=>","{res=0}",0.5,0.539007092198582,0.927631578947368,0.987097325472101,76
"{shelda=0}","=>","{res=0}",0.414473684210526,0.525,0.789473684210526,0.96144578313253,63
"{steeve=0}","=>","{res=0}",0.381578947368421,0.522522522522523,0.730263157894737,0.956908715944861,58
